epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.691,2.34985,4.21175,1.50847,0.00368,0.18721,0.00638,0.00333,1.33936,4.30383,1.00637,2.856e-05,2.856e-05,2.856e-05
2,317.267,1.95703,4.1084,1.37127,0.00834,0.3865,0.02395,0.01386,1.07427,4.22552,0.91758,6.42443e-05,6.42443e-05,6.42443e-05
3,466.09,1.58443,3.93811,1.18713,0.01119,0.4779,0.04671,0.02558,1.03896,4.28092,0.92214,9.98624e-05,9.98624e-05,9.98624e-05
4,618.111,1.50367,3.57158,1.12886,0.01088,0.43712,0.04741,0.0263,1.06884,4.33094,0.94759,0.000135362,0.000135362,0.000135362
5,765.023,1.51046,3.3011,1.13738,0.01247,0.49992,0.06081,0.03394,1.12475,4.27068,0.96111,0.000170691,0.000170691,0.000170691
6,910.964,1.5315,3.07946,1.17483,0.01397,0.58535,0.07879,0.03943,1.21729,4.2363,1.00093,0.000205798,0.000205798,0.000205798
7,1055.77,1.47896,2.87549,1.19238,0.01682,0.7146,0.1185,0.04556,1.42517,4.24151,1.14262,0.000240632,0.000240632,0.000240632
8,1200.45,1.52226,2.82854,1.20631,0.01929,0.81047,0.16916,0.07487,1.44703,3.98129,1.12069,0.00027514,0.00027514,0.00027514
9,1345.76,1.44071,2.62305,1.14097,0.02066,0.9249,0.23068,0.10053,1.42134,3.76411,1.11317,0.000309274,0.000309274,0.000309274
10,1489.67,1.44759,2.5979,1.16317,0.01992,0.92798,0.25384,0.09565,1.51774,3.74602,1.16411,0.000342984,0.000342984,0.000342984
11,1630.36,1.48913,2.48542,1.1776,0.01934,0.93427,0.24428,0.08666,1.64246,3.72456,1.22682,0.000376219,0.000376219,0.000376219
12,1770.24,1.3963,2.32951,1.17334,0.02019,0.97577,0.29246,0.1098,1.69567,3.49985,1.2182,0.000408932,0.000408932,0.000408932
13,1911.79,1.44112,2.29345,1.20689,0.01981,0.9532,0.32346,0.10995,1.76562,3.54049,1.26334,0.000441076,0.000441076,0.000441076
14,2052.73,1.42932,2.24061,1.16391,0.01853,0.96985,0.39352,0.16251,1.65798,3.38155,1.18557,0.000472603,0.000472603,0.000472603
15,2193.09,1.44057,2.21361,1.16259,0.87701,0.07642,0.43766,0.18931,1.6309,3.2189,1.16906,0.000503469,0.000503469,0.000503469
16,2334.89,1.42483,2.10351,1.17111,0.78537,0.13968,0.4458,0.20902,1.61175,3.15078,1.15717,0.000533628,0.000533628,0.000533628
17,2474.22,1.40153,2.13077,1.18849,0.85965,0.10261,0.48227,0.19502,1.67807,3.17576,1.20992,0.000563038,0.000563038,0.000563038
18,2613.99,1.39589,2.08248,1.1825,0.77824,0.14095,0.44794,0.13538,1.86275,3.2675,1.35499,0.000591656,0.000591656,0.000591656
19,2752.9,1.37824,1.99779,1.15507,0.69065,0.22406,0.52683,0.18711,1.84405,3.01938,1.30854,0.000619442,0.000619442,0.000619442
20,2895.56,1.40646,2.01222,1.17452,0.71734,0.3871,0.65037,0.33667,1.53905,2.61038,1.12698,0.000646356,0.000646356,0.000646356
21,3035.11,1.48097,1.96729,1.20078,0.61363,0.4575,0.61656,0.23781,1.93383,2.61677,1.32463,0.000646501,0.000646501,0.000646501
22,3173.89,1.398,1.88565,1.184,0.59433,0.548,0.62485,0.19881,2.13711,2.51301,1.47979,0.000639834,0.000639834,0.000639834
23,3318.62,1.3652,1.76316,1.12715,0.66419,0.68223,0.72639,0.28485,1.91039,2.19344,1.37299,0.000632892,0.000632892,0.000632892
24,3463.43,1.41424,1.8054,1.1786,0.68025,0.69733,0.79159,0.34169,1.77113,2.04551,1.32993,0.000625682,0.000625682,0.000625682
25,3606.31,1.35184,1.76485,1.16812,0.61268,0.67976,0.72933,0.25523,1.97318,2.24936,1.50338,0.000618209,0.000618209,0.000618209
26,3758.55,1.38963,1.74904,1.16354,0.65763,0.6912,0.7596,0.28722,1.8866,2.18248,1.44117,0.000610483,0.000610483,0.000610483
27,3906.48,1.35016,1.73599,1.16252,0.73409,0.73413,0.80691,0.40446,1.5742,1.99926,1.24594,0.000602509,0.000602509,0.000602509
28,4050.06,1.23978,1.68165,1.13059,0.76521,0.78016,0.86803,0.44314,1.57775,1.75023,1.22283,0.000594297,0.000594297,0.000594297
29,4197.52,1.32086,1.60787,1.104,0.78302,0.7784,0.87247,0.44298,1.57559,1.74824,1.21422,0.000585855,0.000585855,0.000585855
30,4344.3,1.30269,1.57636,1.12598,0.81724,0.76563,0.86714,0.47007,1.47441,1.69433,1.16789,0.00057719,0.00057719,0.00057719
31,4486.92,1.2737,1.58903,1.14867,0.81438,0.7391,0.84584,0.50778,1.33372,1.70177,1.11577,0.000568311,0.000568311,0.000568311
32,4628.28,1.28441,1.57255,1.12873,0.79192,0.67371,0.80718,0.52792,1.21249,1.93308,1.07509,0.000559227,0.000559227,0.000559227
33,4765.19,1.28839,1.59752,1.15622,0.79124,0.70387,0.84142,0.52863,1.24092,1.85788,1.07134,0.000549947,0.000549947,0.000549947
34,4880.28,1.28064,1.52877,1.14754,0.84005,0.7696,0.89528,0.53151,1.3441,1.62434,1.10594,0.000540481,0.000540481,0.000540481
35,4995.83,1.31717,1.50982,1.12973,0.84099,0.80131,0.90485,0.57648,1.25802,1.51712,1.07338,0.000530836,0.000530836,0.000530836
36,5107.9,1.24933,1.45958,1.09579,0.8512,0.81923,0.91694,0.57456,1.26783,1.38603,1.07659,0.000521024,0.000521024,0.000521024
37,5218.74,1.23371,1.39803,1.13608,0.87263,0.82629,0.92903,0.53756,1.39365,1.34775,1.13108,0.000511053,0.000511053,0.000511053
38,5329.1,1.22222,1.34288,1.09504,0.87319,0.84007,0.93024,0.53987,1.39679,1.32924,1.12812,0.000500934,0.000500934,0.000500934
39,5440.14,1.22043,1.38542,1.09757,0.85401,0.82501,0.91743,0.59556,1.22579,1.35358,1.05765,0.000490676,0.000490676,0.000490676
40,5551.25,1.24896,1.39074,1.09881,0.89242,0.82429,0.92242,0.61894,1.17029,1.29306,1.02458,0.00048029,0.00048029,0.00048029
41,5663.5,1.21491,1.36432,1.10051,0.89441,0.86894,0.93925,0.60033,1.23257,1.23727,1.04548,0.000469786,0.000469786,0.000469786
42,5774.27,1.25219,1.39456,1.08559,0.91002,0.89555,0.94944,0.53678,1.43513,1.24202,1.13312,0.000459174,0.000459174,0.000459174
43,5886.37,1.3318,1.3968,1.14787,0.89234,0.88555,0.94761,0.52182,1.45047,1.25789,1.1396,0.000448464,0.000448464,0.000448464
44,5998.02,1.21987,1.32908,1.08911,0.85914,0.90206,0.95239,0.64605,1.13246,1.18425,1.00634,0.000437668,0.000437668,0.000437668
45,6109.07,1.26685,1.40106,1.14602,0.87739,0.89602,0.95725,0.66039,1.11262,1.15672,0.99916,0.000426796,0.000426796,0.000426796
46,6218.59,1.2993,1.41288,1.16657,0.91291,0.9049,0.95955,0.64841,1.16425,1.12205,1.01803,0.000415859,0.000415859,0.000415859
47,6329.25,1.19092,1.36687,1.12196,0.91333,0.90864,0.96394,0.58639,1.33402,1.14245,1.0783,0.000404867,0.000404867,0.000404867
48,6439.9,1.1891,1.30978,1.10108,0.93292,0.91708,0.96882,0.58513,1.32836,1.10316,1.0752,0.000393831,0.000393831,0.000393831
49,6550.94,1.1962,1.27731,1.09485,0.92175,0.9261,0.969,0.62684,1.19237,1.0542,1.02857,0.000382762,0.000382762,0.000382762
50,6659.39,1.18129,1.25779,1.08857,0.92776,0.94014,0.96994,0.64715,1.15959,1.03452,1.01595,0.000371672,0.000371672,0.000371672
51,6767.92,1.23293,1.25579,1.11041,0.91244,0.95554,0.97075,0.6636,1.13228,1.03404,1.00432,0.00036057,0.00036057,0.00036057
52,6878.37,1.11892,1.21099,1.05684,0.90304,0.91462,0.96033,0.67655,1.07725,1.15367,0.98204,0.000349468,0.000349468,0.000349468
53,6987.95,1.17975,1.29247,1.06193,0.89569,0.89907,0.96085,0.68157,1.06941,1.14558,0.9829,0.000338378,0.000338378,0.000338378
54,7096.89,1.15807,1.27682,1.08219,0.89751,0.93889,0.96723,0.68567,1.07139,1.08872,0.98691,0.000327309,0.000327309,0.000327309
55,7207.6,1.17999,1.25297,1.09317,0.92539,0.94199,0.97252,0.68251,1.0822,1.03455,0.99298,0.000316273,0.000316273,0.000316273
56,7317.71,1.14973,1.17289,1.06844,0.92596,0.94426,0.97419,0.67974,1.09784,1.00313,1.00104,0.000305281,0.000305281,0.000305281
